Id,Name,Date(created_at),Tweet(text),User_id,Screen_name,Location
1.14614E+18,Niamh,Tue Jul 02 19:34:14 +0000 2019,rt dublinairport enter to win flights to your choice of 7 destinations in canada with aircanada whale watch in st john s visit the ,104573778,hollabackbuoy,"Kildare, Ireland"
,,,,,,
1.14614E+18,The Amazon Post,Tue Jul 02 19:34:14 +0000 2019,rt 2mammadee cory booker joins senate republicans to kill measure to import cheaper medicine from canada  t co ccwohpkqgr by zaid ,17454820,AuFleecer,"Atlanta, GA"
,,,,,,
1.14614E+18,The Fun Blog,Tue Jul 02 19:34:14 +0000 2019,rt faithgoldy media yelling islamophobia over the wonderland incident turns out it s another hijab hoax some somali attacked a 4 yr ,4040320694,thefunblog,"Desoto County, Mississippi"
,,,,,,
1.14614E+18,I hate CANADA,Tue Jul 02 19:34:14 +0000 2019, cbc deadder cbcasithappens irving owned that explains it check out shit about canada to read about the irvings  t co crey8ij94w,8.26237E+17,ihatecanaduh,Gulag CA-NADA
,,,,,,
1.14614E+18,Interested Bystander,Tue Jul 02 19:34:14 +0000 2019,rt sunlorrie he s justintrudeau s dean french federal intergovernmental affairs minister dominic leblanc s family friends and neighbou ,733429818,SusnGrant,"Calgary, Alberta"
,,,,,,
1.14614E+18,Jasmine,Tue Jul 02 19:34:15 +0000 2019,forgot to say happy canada day yesterday so happy belated canada day,1.14512E+18,coolrockinjazzy,
,,,,,,
1.14614E+18,Ciara,Tue Jul 02 19:34:15 +0000 2019,rt dublinairport win flights to canada with aircanada to any of their 7 destinations from dublinairport to enter just follow amp retweet ,48416612,Ciara_McKeown,
,,,,,,
1.14614E+18,BigFrankWest- G+,Tue Jul 02 19:34:15 +0000 2019, i don t want another nba champion coming from canada again stephen a smith ,149438110,BigFrankWest,"Ontario, Canada, #YYZ, YQR,YYC"
,,,,,,
1.14614E+18,The Bookshelf,Tue Jul 02 19:34:15 +0000 2019,in honour of canada day headscratchers quiz master mr joel is coming to put your canadiana knowledge to the test  t co ignc8zwr0w,79785165,Bookshelfnews,"Guelph, Ontario"
,,,,,,
1.14614E+18,jo_vAn,Tue Jul 02 19:34:15 +0000 2019,rt jakipz canada day giveaway retweet for 7 day free access to my onlyfans  t co airzpytiog  t co wqmjrxqagr h ,8.73818E+17,jovan0413,"Davao City, Davao Region"
,,,,,,
1.14614E+18,clare baker,Tue Jul 02 19:34:16 +0000 2019,rt explorethepast where in the world are you we d love to hear if you ve archivetravelled to us or are planning to maybe you are sear ,2830459978,ClareBakerJRL,
,,,,,,
1.14614E+18,CircuitMeter,Tue Jul 02 19:34:16 +0000 2019,rt efficiencycan icymi canada launches new energy efficiency program  t co 4eyxo4cc3r,997568648,CircuitMeter,Toronto
,,,,,,
1.14614E+18,KK,Tue Jul 02 19:34:17 +0000 2019,rt reuters americans caravan to canada for cheap insulin jonah green reports for reuterstv  t co rsfuqonsvb  t co qo9q ,25341564,Kristopher_K,Canada
,,,,,,
1.14614E+18,Tyler Stone,Tue Jul 02 19:34:17 +0000 2019,rt anne theriault no fox has been recorded to travel that far that fast before look not to alarm anyone but that fox is clearly a m ,784999,tylerstone,el G
,,,,,,
1.14614E+18,Edmonton Deal Finder,Tue Jul 02 19:34:17 +0000 2019, protect your home wall e cover we got you covered secure yours today keep wildlife out  t co mddnmtunmm,4839614223,EDMN_DealFinder,"Edmonton, Alberta"
,,,,,,
1.14614E+18,Just sayin',Tue Jul 02 19:34:18 +0000 2019, vickysanderson phpress what no indigenous officers time to change that canada indigenouspeopleprotest racistcanada,2747695578,mrmjustsayin,Big Sky Country
,,,,,,
1.14614E+18,Dj Pumba,Tue Jul 02 19:34:19 +0000 2019,rt vdrodxo djpumba it was canada day we was all faded af up here,32080739,djpumba,"Los Angeles, CA / watsonville"
,,,,,,
1.14614E+18,Charles LG Conlon,Tue Jul 02 19:34:19 +0000 2019,rt ldogls and the gop are okay with a military dictatorship parade trump orders tanks for independence day parade bbc news us amp canad ,7.26821E+17,ConlonCharles,"United Kingdom, not England "
,,,,,,
1.14614E+18,You,Tue Jul 02 19:34:19 +0000 2019,rt jandles so many idiots with this take kd kd had a 3 1 lead to gsw kd and co blew said 3 1 lead kd went and joined said team ,2367254812,CEOBigDaddi,"Gilbert, AZ"
,,,,,,
1.14614E+18,David Olinger,Tue Jul 02 19:34:19 +0000 2019,i will be shocked if kawhi leonard stays with the raptors good luck to him with his next team his determination  t co x9kbm0oezh,131434993,David_W_Olinger,"Grande Prairie, Alberta"
,,,,,,
1.14614E+18,Lori Thibault,Tue Jul 02 19:34:19 +0000 2019,rt calphonso autism advocates calling for ontario to adopt full program reset laid out in pc mpp s review via l stone and i  t ,146704790,schmoopgirl,
,,,,,,
1.14614E+18,Julie Misener,Tue Jul 02 19:34:20 +0000 2019,rt nffontario intimatepartnerviolence is one of the most common forms of violence against women in canada endvaw sheisyourneighbour h ,1244431339,JulieMisener,
,,,,,,
1.14614E+18,Moe,Tue Jul 02 19:34:20 +0000 2019,rt puckdontlie nazem kadri s first game against the toronto maple leafs will be on hockey night in canada on saturday november 23rd,1293332790,Moezyy_H,Toronto
,,,,,,
1.14614E+18,hussam assaad,Tue Jul 02 19:34:20 +0000 2019,rt canadainuae the world s tallest building lit up in red and white for canadadayintheuae a fantastic symbol of our missions aim of br ,432757239,hussamassaad,
,,,,,,
1.14614E+18,Bea,Tue Jul 02 19:34:20 +0000 2019,rt gardencrowd think twice three times in fact don t drop litter at all it s not rocket size it s not hard we ve surely evolved t ,586556205,NorfolkBea,"Overstrand, Norfolk"
,,,,,,
1.14614E+18,Piping hot Canadian tea,Tue Jul 02 19:34:20 +0000 2019,rt ufwd yvr happy canada day the world chinese business association of canada wcbac is a ccp united front group  t co zxs66ofk ,9.76461E+17,UFWD_YVR,"Vancouver, British Columbia"
,,,,,,
1.14614E+18,barbara yarosz,Tue Jul 02 19:34:20 +0000 2019,rt reuters americans caravan to canada for cheap insulin jonah green reports for reuterstv  t co rsfuqonsvb  t co qo9q ,924544260,beachyby,
,,,,,,
1.14614E+18,Rob's Obs,Tue Jul 02 19:34:21 +0000 2019,rt permafrostee the norway to canada arcticfox gif is blowing my mind svalbard  t co zmgf9yzqni,218978188,robsobs,"Winnipeg, Manitoba, Canada"
,,,,,,
1.14614E+18,Eric,Tue Jul 02 19:34:21 +0000 2019,rt jandles so many idiots with this take kd kd had a 3 1 lead to gsw kd and co blew said 3 1 lead kd went and joined said team ,1.13127E+18,EC_thee2nd,
,,,,,,
1.14614E+18,Andy Clement,Tue Jul 02 19:34:23 +0000 2019,rt dublinairport win flights to canada with aircanada to any of their 7 destinations from dublinairport to enter just follow amp retweet ,622233271,AndyClement001,Ballinderry Upper
,,,,,,
1.14614E+18,jimboy,Tue Jul 02 19:34:23 +0000 2019,rt stevepeers canada why roll over a cow when we could have the milk for free thoughts and prayers for the canzuk dudes  t ,218285348,jimboy__,U.K. 
,,,,,,
1.14614E+18,serena,Tue Jul 02 19:34:24 +0000 2019,oh canada our home and native land,7.16697E+17,pishasbros,
,,,,,,
1.14614E+18,Felicia A,Tue Jul 02 19:34:24 +0000 2019,rt reuters americans caravan to canada for cheap insulin jonah green reports for reuterstv  t co rsfuqonsvb  t co qo9q ,2409002658,Felicia2071,
,,,,,,
1.14614E+18,Mrs. Wendy,Tue Jul 02 19:34:24 +0000 2019,rt franktmcveety canada watch is video the news caster finds joy trudeau shares doing a dance showing military while what appears t ,1517426348,WindygailWendy,"Ontario, Canada"
,,,,,,
1.14614E+18,Mikey Likey,Tue Jul 02 19:34:24 +0000 2019,rt milliondollrfam if my friends here can do anything please share this if you know people or are from winnipeg my brother is missin ,124140808,michaeldeluca7,"Concord, Ohio"
,,,,,,
1.14614E+18,Pato Pipón,Tue Jul 02 19:34:24 +0000 2019,rt katya zamo excited to strut pout and let it my whole chunky ass out in edmonton canada tonight strut sexy woman  t co s ,7.5882E+17,pat0pipon,
,,,,,,
1.14614E+18,Gail St Louis,Tue Jul 02 19:34:24 +0000 2019,a case of whiteskinphobia turning it around somebodysplayingthevictimagain and it is not brandylynn  t co czczgoose4,1.04503E+18,gail_st,
,,,,,,
